VendorName,TotalSalesDollars,GrossProfit,TotalPurchaseDollars,PurchaseContribution%,Cumulative_Contribution%
DIAGEO NORTH AMERICA INC,67990099.41999924,17892873.25999925,50097226.15999999,16.300322787066808,16.300322787066808
MARTIGNETTI COMPANIES,39330359.35999976,13828263.529999824,25502095.82999994,8.297712780505561,24.598035567572367
PERNOD RICARD USA,32063196.18999942,8212032.019999283,23851164.170000136,7.760542940573951,32.358578508146316
JIM BEAM BRANDS COMPANY,31423036.94999994,7928732.629999897,23494304.32000004,7.6444301097723475,40.00300861791867
BACARDI USA INC,24854817.139999602,7422796.879999528,17432020.260000072,5.671921957538767,45.67493057545743
CONSTELLATION BRANDS INC,24218745.65000008,8945037.570000073,15273708.080000008,4.969663810612675,50.644594386070104
BROWN-FORMAN CORP,18247230.649999738,5008291.46999963,13238939.180000108,4.307603405089353,54.952197791159456
E & J GALLO WINERY,18399899.46000008,6331360.240000032,12068539.220000047,3.9267859706661317,58.87898376182559
ULTRA BEVERAGE COMPANY LLP,16502544.309999926,5335462.699999944,11167081.609999983,3.63347531959477,62.51245908142036
M S WALKER INC,14706458.510000056,4942145.910000065,9764312.59999999,3.177051093916762,65.68951017533712
